번호,작성자,작성일,댓글,회차,좋아요,대댓글수,댓글_전처리,댓글_토큰,감정_라벨
1,"선택됨,
홈
탭, 총 3개 중 1번째",15.12.07,비서 그렇다 장판,전체 88,1518,103,비서 그렇다 장판,"['비서', '그렇다', '장판']",Neutral
2,바람불다♡♡,15.12.07,회장 그냥 미소 며느리 삼고 싶다 말씀 하다,김 비서가 왜 그럴까(애장판) 10화,1518,103,회장 그냥 미소 며느리 삼고 싶다 말씀 하다,"['회장', '그냥', '미소', '며느리', '삼고', '싶다', '말씀', '하다']",Positive
3,귤이,15.12.07,동생 관심 쏠리다 질투 하다 동생 벌다 진일 벌어지다 일로 착각 하다 된거 동생 경멸 하다 아니다,김 비서가 왜 그럴까(애장판) 26화,1367,37,동생 관심 쏠리다 질투 하다 동생 벌다 진일 벌어지다 일로 착각 하다 된거 동생 경멸 하다 아니다,"['동생', '관심', '쏠리다', '질투', '하다', '동생', '벌다', '진일', '벌어지다', '일로', '착각', '하다', '된거', '동생', '경멸', '하다', '아니다']",Negative
4,니냐니뇨,15.12.07,배다 웃기 죽겠네 그동안 보지 하다 캐릭터 남다,김 비서가 왜 그럴까(애장판) 08화,1132,30,배다 웃기 죽겠네 그동안 보지 하다 캐릭터 남다,"['배다', '웃기', '죽겠네', '그동안', '보지', '하다', '캐릭터', '남다']",Neutral
5,루얀,15.12.08,원래 오빠 하다 괜찮다 오빠 하다 꼴다 보다,김 비서가 왜 그럴까(애장판) 19화,1104,42,원래 오빠 하다 괜찮다 오빠 하다 꼴다 보다,"['원래', '오빠', '하다', '괜찮다', '오빠', '하다', '꼴다', '보다']",Positive
6,dgbn,15.12.09,끼익끼익 흔들리다 소리 어리다 미소 보다 안되다 이상하다 커다랗다 거미 영준 올려다보다 여자 악몽 어리다 미소 영준 메단 여자 시체 만나다 거미 란건 천장 매달리다 연상 트라우마 아니다 싶다,김 비서가 왜 그럴까(애장판) 13화,1103,73,끼익끼익 흔들리다 소리 어리다 미소 보다 안되다 이상하다 커다랗다 거미 영준 올려다보다 여자 악몽 어리다 미소 영준 메단 여자 시체 만나다 거미 란건 천장 매달리다 연상 트라우마 아니다 싶다,"['끼익끼익', '흔들리다', '소리', '어리다', '미소', '보다', '안되다', '이상하다', '커다랗다', '거미', '영준', '올려다보다', '여자', '악몽', '어리다', '미소', '영준', '메단', '여자', '시체', '만나다', '거미', '란건', '천장', '매달리다', '연상', '트라우마', '아니다', '싶다']",Neutral
7,블루노바,15.12.24,미소 얘기 속지 않다 이상하다 달다 똑똑하다 다행 추가 완벽 남인 영준 붙다 덕분 인지 성연 유혹 넘어가다 않다,김 비서가 왜 그럴까(애장판) 35화,981,7,미소 얘기 속지 않다 이상하다 달다 똑똑하다 다행 추가 완벽 남인 영준 붙다 덕분 인지 성연 유혹 넘어가다 않다,"['미소', '얘기', '속지', '않다', '이상하다', '달다', '똑똑하다', '다행', '추가', '완벽', '남인', '영준', '붙다', '덕분', '인지', '성연', '유혹', '넘어가다', '않다']",Positive
8,바람불다♡♡,15.12.08,유괴 동생 악몽 꾸다 유괴 상황 동생 유괴 되다 가르치다 동생 질투 하다 사흘 발견 되다 동생 관심 집중 되다 현실 피하 동생 현실 바꾸다 기억 동생 냉담하다,김 비서가 왜 그럴까(애장판) 26화,950,17,유괴 동생 악몽 꾸다 유괴 상황 동생 유괴 되다 가르치다 동생 질투 하다 사흘 발견 되다 동생 관심 집중 되다 현실 피하 동생 현실 바꾸다 기억 동생 냉담하다,"['유괴', '동생', '악몽', '꾸다', '유괴', '상황', '동생', '유괴', '되다', '가르치다', '동생', '질투', '하다', '사흘', '발견', '되다', '동생', '관심', '집중', '되다', '현실', '피하', '동생', '현실', '바꾸다', '기억', '동생', '냉담하다']",Negative
9,냥냥,15.12.08,비서 며느리 삼고 싶다 하다,김 비서가 왜 그럴까(애장판) 10화,950,8,비서 며느리 삼고 싶다 하다,"['비서', '며느리', '삼고', '싶다', '하다']",Neutral
10,비키,15.12.08,비서 가다 아니다 사장 왜이랜데 사장,김 비서가 왜 그럴까(애장판) 08화,950,12,비서 가다 아니다 사장 왜이랜데 사장,"['비서', '가다', '아니다', '사장', '왜이랜데', '사장']",Neutral
